date,sector,model,headline_count,observed_ticker_count,eligible_ticker_count,coverage,compound_mean,index_0_100,causal_expanding_mean,causal_expanding_std,causal_z,descriptive_full_sample_z
2020-01-02,Comm,finance_vader,0,0,0,,,,,,,
2020-01-02,Comm,plain_vader,0,0,0,,,,,,,
2020-01-02,Consumer,finance_vader,0,0,0,,,,,,,
2020-01-02,Consumer,plain_vader,0,0,0,,,,,,,
2020-01-02,Energy,finance_vader,0,0,0,,,,,,,
2020-01-02,Energy,plain_vader,0,0,0,,,,,,,
2020-01-02,Financials,finance_vader,0,0,0,,,,,,,
2020-01-02,Financials,plain_vader,0,0,0,,,,,,,
2020-01-02,Healthcare,finance_vader,0,0,0,,,,,,,
2020-01-02,Healthcare,plain_vader,0,0,0,,,,,,,
2020-01-02,Industrials,finance_vader,0,0,0,,,,,,,
2020-01-02,Industrials,plain_vader,0,0,0,,,,,,,
2020-01-02,Materials,finance_vader,0,0,0,,,,,,,
2020-01-02,Materials,plain_vader,0,0,0,,,,,,,
2020-01-02,RealEstate,finance_vader,0,0,0,,,,,,,
2020-01-02,RealEstate,plain_vader,0,0,0,,,,,,,
2020-01-02,Tech,finance_vader,0,0,0,,,,,,,
2020-01-02,Tech,plain_vader,0,0,0,,,,,,,
2020-01-02,Utilities,finance_vader,0,0,0,,,,,,,
2020-01-02,Utilities,plain_vader,0,0,0,,,,,,,
2020-01-03,Comm,finance_vader,3,2,5,0.4,0.135575,56.77875,,,,0.24612378742514
2020-01-03,Comm,plain_vader,3,2,5,0.4,0.135575,56.77875,,,,0.2878720885115153
2020-01-03,Consumer,finance_vader,10,4,5,0.8,-0.2177916666666667,39.11041666666667,,,,-3.967580604883907
2020-01-03,Consumer,plain_vader,10,4,5,0.8,-0.2177916666666667,39.11041666666667,,,,-3.976326355560417
2020-01-03,Energy,finance_vader,28,5,5,1,-0.04618972727272729,47.69051363636363,,,,-1.335599398487573
2020-01-03,Energy,plain_vader,28,5,5,1,-0.04618972727272729,47.69051363636363,,,,-1.348819802747393
2020-01-03,Financials,finance_vader,8,3,5,0.6,0.08409166666666668,54.20458333333333,,,,-0.1625786524433992
2020-01-03,Financials,plain_vader,8,3,5,0.6,0.08409166666666668,54.20458333333333,,,,-0.1345600909122948
2020-01-03,Healthcare,finance_vader,6,2,5,0.4,0.2093875,60.469375,,,,0.753711438116382
2020-01-03,Healthcare,plain_vader,6,2,5,0.4,0.2093875,60.469375,,,,0.8126397313537175
2020-01-03,Industrials,finance_vader,7,4,5,0.8,-0.1561,42.195,,,,-2.396142088137775
2020-01-03,Industrials,plain_vader,7,4,5,0.8,-0.1561,42.195,,,,-2.397524939697704
2020-01-03,Materials,finance_vader,3,2,5,0.4,-0.07075000000000001,46.4625,,,,-1.205188229053672
2020-01-03,Materials,plain_vader,3,2,5,0.4,-0.07075000000000001,46.4625,,,,-1.18591293513339
2020-01-03,RealEstate,finance_vader,5,3,5,0.6,-0.06403333333333334,46.79833333333333,,,,-1.275560011637439
2020-01-03,RealEstate,plain_vader,5,3,5,0.6,-0.06403333333333334,46.79833333333333,,,,-1.254183619039177
2020-01-03,Tech,finance_vader,17,4,5,0.8,0.09808526785714286,54.90426339285715,,,,-0.2305282668668165
2020-01-03,Tech,plain_vader,17,4,5,0.8,0.09808526785714286,54.90426339285715,,,,-0.1964269678011522
2020-01-03,Utilities,finance_vader,4,2,5,0.4,0.1818,59.09,,,,-0.05692837998951833
2020-01-03,Utilities,plain_vader,4,2,5,0.4,0.14085,57.0425,,,,-0.2620261903933322
2020-01-06,Comm,finance_vader,16,3,5,0.6,0.1738097222222222,58.69048611111111,,,,0.5604819768147176
2020-01-06,Comm,plain_vader,16,3,5,0.6,0.1738097222222222,58.69048611111111,,,,0.6067440659902757
2020-01-06,Consumer,finance_vader,44,5,5,1,0.1067893137254902,55.33946568627452,,,,0.03523850548421588
2020-01-06,Consumer,plain_vader,44,5,5,1,0.1067893137254902,55.33946568627452,,,,0.06168273662575236
2020-01-06,Energy,finance_vader,34,5,5,1,0.08543969696969697,54.27198484848484,,,,-0.235157059891236
2020-01-06,Energy,plain_vader,34,5,5,1,0.08543969696969697,54.27198484848484,,,,-0.223910036237478
2020-01-06,Financials,finance_vader,12,5,5,1,0.278786,63.9393,,,,1.593470384663108
2020-01-06,Financials,plain_vader,12,5,5,1,0.284306,64.2153,,,,1.705502093298333
2020-01-06,Healthcare,finance_vader,12,5,5,1,0.32718,66.35899999999999,,,,1.718101775856112
2020-01-06,Healthcare,plain_vader,12,5,5,1,0.32718,66.35899999999999,,,,1.791683217515023
2020-01-06,Industrials,finance_vader,14,3,5,0.6,0.07352870370370369,53.67643518518519,,,,-0.3222023329094952
2020-01-06,Industrials,plain_vader,14,3,5,0.6,0.07352870370370369,53.67643518518519,,,,-0.3088118476606265
2020-01-06,Materials,finance_vader,9,4,5,0.8,-0.06976499999999999,46.51175,,,,-1.198418547660245
2020-01-06,Materials,plain_vader,9,4,5,0.8,-0.06976499999999999,46.51175,,,,-1.178948465471033
2020-01-06,RealEstate,finance_vader,4,3,5,0.6,0.148,57.4,,,,0.05380172222991859
2020-01-06,RealEstate,plain_vader,4,3,5,0.6,0.148,57.4,,,,0.0826854223383669
2020-01-06,Tech,finance_vader,13,5,5,1,-0.01311666666666667,49.34416666666667,,,,-1.268128518721876
2020-01-06,Tech,plain_vader,13,5,5,1,-0.01311666666666667,49.34416666666667,,,,-1.237873291802286
2020-01-06,Utilities,finance_vader,6,4,5,0.8,0.0113125,50.565625,,,,-1.1153461430956
2020-01-06,Utilities,plain_vader,6,4,5,0.8,0.0113125,50.565625,,,,-1.077506117277643
2020-01-07,Comm,finance_vader,5,3,5,0.6,0.2926333333333334,64.63166666666666,,,,1.537425787953754
2020-01-07,Comm,plain_vader,5,3,5,0.6,0.2926333333333334,64.63166666666666,,,,1.597715561113252
2020-01-07,Consumer,finance_vader,22,5,5,1,0.1472385,57.361925,,,,0.5340686452626716
2020-01-07,Consumer,plain_vader,22,5,5,1,0.1472385,57.361925,,,,0.5648982415843706
2020-01-07,Energy,finance_vader,12,3,5,0.6,0.07934999999999999,53.9675,,,,-0.2860678681185391
2020-01-07,Energy,plain_vader,12,3,5,0.6,0.07934999999999999,53.9675,,,,-0.2759528043018702
2020-01-07,Financials,finance_vader,11,4,5,0.8,0.140525,57.02625,,,,0.3464228113590598
2020-01-07,Financials,plain_vader,11,4,5,0.8,0.140525,57.02625,,,,0.3840883038693962
2020-01-07,Healthcare,finance_vader,15,5,5,1,0.1420106666666667,57.10053333333334,,,,0.2020840674928971
2020-01-07,Healthcare,plain_vader,15,5,5,1,0.1420106666666667,57.10053333333334,,,,0.2526308191294596
2020-01-07,Industrials,finance_vader,13,4,5,0.8,0.03005714285714286,51.50285714285714,,,,-0.714824843977799
