fund_id,universe,method,first_live_date,last_date,observations,periods_per_year,cumulative_return_gross,annualised_return_gross,annualised_volatility_gross,sharpe_gross,max_drawdown_gross,cumulative_return_net,annualised_return_net,annualised_volatility_net,sharpe_net,max_drawdown_net,total_turnover,average_rebalance_turnover,total_trading_cost,rebalance_count,fallback_count
combined_equal_weight,combined,equal_weight,2021-01-04,2023-12-29,753,252,0.5236892003153235,0.1643369301144216,0.2160038524438762,0.7608055516376537,-0.2787245867171412,0.5201118576324735,0.1635495034374955,0.2160022700441042,0.7571656696205152,-0.2790304824945051,2.350047989085943,0.06527911080794285,0.002350047989085943,36,0
combined_max_sharpe,combined,max_sharpe,2021-01-04,2023-12-29,753,252,0.1986838723395536,0.07947691334233555,0.1940969066995112,0.4094702728332336,-0.2953268355898312,0.1932027956581885,0.07793426207162062,0.1940525917342304,0.4016141262279941,-0.2966686135140451,4.582341542840267,0.1272872650788963,0.004582341542840267,36,0
combined_min_variance,combined,minimum_variance,2021-01-04,2023-12-29,753,252,0.1633895891793846,0.05879700113285502,0.1276991096299113,0.4604339161271869,-0.1709605266264822,0.1610698379714794,0.05813144501101007,0.1277188218697173,0.4551517478786992,-0.1711328854003356,1.995433648451729,0.05542871245699248,0.001995433648451729,36,0
combined_risk_parity,combined,risk_parity,2021-01-04,2023-12-29,753,252,0.4328169186967596,0.1355884952372781,0.1743506443433345,0.7776770527459296,-0.2237626495442686,0.4297631055526421,0.1348747721714959,0.1743543335974085,0.7735670768179896,-0.2239247186092047,2.133089503900275,0.05925248621945209,0.002133089503900276,36,0
crypto_equal_weight,crypto,equal_weight,2021-01-01,2023-12-31,1095,365,1.773784516186674,0.6787073406510695,0.8189033644058068,0.8288002835884513,-0.8157130881593211,1.76524642732257,0.6776698914919037,0.8188926603664002,0.8275442244026114,-0.8158907064885305,3.082293085568132,0.08561925237689254,0.003082293085568132,36,0
crypto_max_sharpe,crypto,max_sharpe,2021-01-01,2023-12-31,1095,365,1.660168274917069,0.5976250538850968,0.7340369717100387,0.8141620612008795,-0.7961488038364954,1.652709604508747,0.5966830491245655,0.7340297184881469,0.812886772968172,-0.7962710467879301,2.807205328283465,0.0779779257856518,0.002807205328283465,36,0
crypto_min_variance,crypto,minimum_variance,2021-01-01,2023-12-31,1095,365,2.451773535072677,0.6787373833667933,0.7253243582964857,0.9357708390779711,-0.7271806131178726,2.440599766061803,0.6776449446542049,0.7253097282187213,0.9342835457597187,-0.7273226864979485,3.241729518917828,0.09004804219216188,0.003241729518917828,36,0
crypto_risk_parity,crypto,risk_parity,2021-01-01,2023-12-31,1095,365,1.657637452508608,0.6575271356250006,0.8101107529336452,0.8116509171664551,-0.8152951205471917,1.648798704953441,0.6564061317202997,0.8100990880166071,0.8102788182707389,-0.8154701654316117,3.33072934650061,0.09252025962501692,0.00333072934650061,36,5
equity_equal_weight,equity,equal_weight,2021-01-04,2023-12-29,753,252,0.427216814815008,0.1320533852449169,0.1611798066658567,0.8192923665597762,-0.202492101525106,0.4244309141705549,0.1314027565114875,0.1612015605756775,0.8151456849563146,-0.2026396844833888,1.953374866933255,0.05426041297036819,0.001953374866933255,36,0
equity_max_sharpe,equity,max_sharpe,2021-01-04,2023-12-29,753,252,0.2039849963924696,0.07483229235451389,0.1593202817312444,0.4696972133199441,-0.2517234528392224,0.1987473706575058,0.07337172964135574,0.1593125286859465,0.4605521627617484,-0.252293635225001,4.359030811254064,0.1210841892015018,0.004359030811254064,36,0
equity_min_variance,equity,minimum_variance,2021-01-04,2023-12-29,753,252,0.186901061230484,0.06539803055467136,0.1269500379420337,0.5151477826618104,-0.1721015879103964,0.1845390898493171,0.06473305473478383,0.1269643054706595,0.5098523911489687,-0.1722622208359565,1.991499283681423,0.05531942454670619,0.001991499283681423,36,0
equity_risk_parity,equity,risk_parity,2021-01-04,2023-12-29,753,252,0.3322538375101147,0.1071571731998047,0.149298258439671,0.7177389362723557,-0.1938745142636555,0.3297217494622631,0.1065234916069634,0.1493195364153016,0.7133928631461206,-0.1940183001626932,1.901900643845047,0.05283057344014017,0.001901900643845046,36,0
