decision_date,effective_date,fund_id,universe,method,eligible_asset_count,complete_history_rows,asset_cap,solver,solver_success,fallback_used,fallback_source,status,solver_status_code,solver_message,objective_value,weight_sum,minimum_weight,maximum_weight
2020-07-31,2020-08-01,crypto_max_sharpe,crypto,max_sharpe,0,213,,SLSQP,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-07-31,2020-08-01,crypto_min_variance,crypto,minimum_variance,0,213,,SLSQP,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-07-31,2020-08-01,crypto_risk_parity,crypto,risk_parity,0,213,,SLSQP,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-07-31,2020-08-03,equity_equal_weight,equity,equal_weight,0,147,,direct,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-07-31,2020-08-03,equity_max_sharpe,equity,max_sharpe,0,147,,SLSQP,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-07-31,2020-08-03,equity_min_variance,equity,minimum_variance,0,147,,SLSQP,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-07-31,2020-08-03,equity_risk_parity,equity,risk_parity,0,147,,SLSQP,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-08-31,2020-09-01,combined_equal_weight,combined,equal_weight,0,168,,direct,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-08-31,2020-09-01,combined_max_sharpe,combined,max_sharpe,0,168,,SLSQP,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-08-31,2020-09-01,combined_min_variance,combined,minimum_variance,0,168,,SLSQP,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-08-31,2020-09-01,combined_risk_parity,combined,risk_parity,0,168,,SLSQP,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-08-31,2020-09-01,crypto_equal_weight,crypto,equal_weight,0,244,,direct,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-08-31,2020-09-01,crypto_max_sharpe,crypto,max_sharpe,0,244,,SLSQP,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-08-31,2020-09-01,crypto_min_variance,crypto,minimum_variance,0,244,,SLSQP,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-08-31,2020-09-01,crypto_risk_parity,crypto,risk_parity,0,244,,SLSQP,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-08-31,2020-09-01,equity_equal_weight,equity,equal_weight,0,168,,direct,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-08-31,2020-09-01,equity_max_sharpe,equity,max_sharpe,0,168,,SLSQP,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
2020-08-31,2020-09-01,equity_min_variance,equity,minimum_variance,0,168,,SLSQP,False,False,none,skipped_insufficient_complete_history,-1,No eligible assets or fewer complete rows than the initial window.,,,,
